timestamp,script,flow,model,input_tokens,output_tokens,total_tokens,input_cost_usd,output_cost_usd,total_cost_usd
2026-07-01 12:37:49,generate2.py,create_service_report,gpt-4o,80412,81,80493,0.201030,0.000810,0.201840
2026-07-01 12:38:09,generate2.py,create_service_report,gpt-4o,79631,450,80081,0.199078,0.004500,0.203578
2026-07-01 12:38:19,generate2.py,create_service_report,gpt-4o,14318,782,15100,0.035795,0.007820,0.043615
2026-07-01 12:48:55,generate1.py,create_service_report,gpt-4o,9195,4553,13748,0.022988,0.045530,0.068518
2026-07-01 12:49:36,generate1.py,create_service_report,gpt-4o,9255,4681,13936,0.023138,0.046810,0.069948
2026-07-01 12:49:53,generate1.py,create_service_report,gpt-4o,9255,1694,10949,0.023138,0.016940,0.040078
2026-07-01 12:50:27,generate1.py,create_service_report,gpt-4o,9254,3837,13091,0.023135,0.038370,0.061505
2026-07-01 12:50:32,generate1.py,create_service_report,gpt-4o,9255,423,9678,0.023138,0.004230,0.027368
2026-07-01 13:05:55,generate1.py,create_service_report,gpt-4o,9244,3871,13115,0.023110,0.038710,0.061820
2026-07-01 13:06:28,generate1.py,create_service_report,gpt-4o,9304,4280,13584,0.023260,0.042800,0.066060
2026-07-01 13:06:46,generate1.py,create_service_report,gpt-4o,9304,2018,11322,0.023260,0.020180,0.043440
2026-07-01 13:07:12,generate1.py,create_service_report,gpt-4o,9303,3500,12803,0.023258,0.035000,0.058258
2026-07-01 13:22:10,generate1.py,create_service_report,gpt-4o,9357,3167,12524,0.023393,0.031670,0.055063
2026-07-01 13:22:39,generate1.py,create_service_report,gpt-4o,9176,4280,13456,0.022940,0.042800,0.065740
2026-07-01 13:22:55,generate1.py,create_service_report,gpt-4o,9176,1602,10778,0.022940,0.016020,0.038960
2026-07-01 13:23:23,generate1.py,create_service_report,gpt-4o,9175,3971,13146,0.022938,0.039710,0.062648
2026-07-01 13:23:28,generate1.py,create_service_report,gpt-4o,9176,428,9604,0.022940,0.004280,0.027220
2026-07-01 13:36:55,generate1.py,create_service_report,gpt-4o,9344,4308,13652,0.023360,0.043080,0.066440
2026-07-01 13:37:34,generate1.py,create_service_report,gpt-4o,9163,4146,13309,0.022908,0.041460,0.064367
2026-07-01 13:37:47,generate1.py,create_service_report,gpt-4o,9163,1473,10636,0.022908,0.014730,0.037638
2026-07-01 13:38:29,generate1.py,create_service_report,gpt-4o,9162,4166,13328,0.022905,0.041660,0.064565
2026-07-01 13:38:35,generate1.py,create_service_report,gpt-4o,9163,390,9553,0.022908,0.003900,0.026808
2026-07-01 13:46:49,extract.py,create_service_report,gpt-4o,73924,1384,75308,0.184810,0.013840,0.198650
2026-07-01 14:47:33,extract.py,create_service_report,gpt-4o,73924,1303,75227,0.184810,0.013030,0.197840
2026-07-01 16:36:22,generate1.py,create_service_report,gpt-4o,9554,5243,14797,0.023885,0.052430,0.076315
2026-07-01 16:37:39,generate1.py,create_service_report,gpt-4o,9373,4696,14069,0.023432,0.046960,0.070392
2026-07-01 16:38:38,generate1.py,create_service_report,gpt-4o,9373,5360,14733,0.023432,0.053600,0.077033
2026-07-01 16:39:40,generate1.py,create_service_report,gpt-4o,9372,4313,13685,0.023430,0.043130,0.066560
